model,framework,data_pct,feature,P,R,F
lv_roberta_base_20pct,XLM-R-base,20,Voice,1.0,0.9994540491355778,0.9997269500318557
lv_roberta_base_20pct,XLM-R-base,20,Definite,1.0,0.9987212276214834,0.999360204734485
lv_roberta_base_20pct,XLM-R-base,20,Degree,1.0,0.9989406779661016,0.9994700582935877
lv_roberta_base_20pct,XLM-R-base,20,Poss,1.0,1.0,1.0
lv_roberta_base_20pct,XLM-R-base,20,NumType,0.8841567291311755,0.7403708987161198,0.8059006211180125
lv_roberta_base_20pct,XLM-R-base,20,Reflex,1.0,1.0,1.0
lv_roberta_base_20pct,XLM-R-base,20,Aspect,1.0,1.0,1.0
lv_roberta_base_20pct,XLM-R-base,20,Foreign,0.9702380952380952,0.9588235294117647,0.9644970414201184
lv_roberta_base_20pct,XLM-R-base,20,Abbr,0.9528795811518325,0.8708133971291866,0.91
lv_roberta_base_20pct,XLM-R-base,20,Typo,1.0,1.0,1.0
lv_roberta_base_50pct,XLM-R-base,50,ExtPos,1.0,1.0,1.0
lv_roberta_base_50pct,XLM-R-base,50,Case,0.9994751574527642,0.9983108108108109,0.9988926448303999
lv_roberta_base_50pct,XLM-R-base,50,Gender,0.9993869168046103,0.9983463988241058,0.9988663868378319
lv_roberta_base_50pct,XLM-R-base,50,Number,0.9996555485389517,0.9982801123659921,0.9989673570076302
lv_roberta_base_50pct,XLM-R-base,50,Person,1.0,0.9990594431903687,0.9995295003293497
lv_roberta_base_50pct,XLM-R-base,50,PronType,1.0,0.9994473611494888,0.9997236042012161
lv_roberta_base_50pct,XLM-R-base,50,Evident,1.0,0.9989341859845456,0.9994668088509729
lv_roberta_base_50pct,XLM-R-base,50,Mood,1.0,0.9990208078335373,0.9995101640950282
lv_roberta_base_50pct,XLM-R-base,50,Polarity,1.0,0.9994051160023796,0.9997024695031241
lv_roberta_base_50pct,XLM-R-base,50,Tense,1.0,0.9992289899768697,0.9996143463170073
lv_roberta_base_50pct,XLM-R-base,50,VerbForm,1.0,0.9993940312073928,0.9996969237763297
lv_roberta_base_50pct,XLM-R-base,50,Voice,1.0,0.9992753623188406,0.9996375498368975
lv_roberta_base_50pct,XLM-R-base,50,Definite,1.0,0.9993535875888817,0.9996766892984158
lv_roberta_base_50pct,XLM-R-base,50,Degree,1.0,0.9994655264564404,0.999732691793638
lv_roberta_base_50pct,XLM-R-base,50,Poss,1.0,1.0,1.0
lv_roberta_base_50pct,XLM-R-base,50,NumType,0.9398340248962656,0.7111459968602826,0.8096514745308311
lv_roberta_base_50pct,XLM-R-base,50,Reflex,1.0,1.0,1.0
lv_roberta_base_50pct,XLM-R-base,50,Aspect,1.0,1.0,1.0
lv_roberta_base_50pct,XLM-R-base,50,Foreign,0.9788732394366197,0.9586206896551724,0.9686411149825783
lv_roberta_base_50pct,XLM-R-base,50,Abbr,0.9444444444444444,0.8348214285714286,0.8862559241706162
lv_roberta_base_50pct,XLM-R-base,50,Typo,0.6666666666666666,1.0,0.8
lv_roberta_base_100pct,XLM-R-base,100,ExtPos,1.0,0.9791666666666666,0.9894736842105264
lv_roberta_base_100pct,XLM-R-base,100,Case,0.9992404323692667,0.9979576355254712,0.9985986219782786
lv_roberta_base_100pct,XLM-R-base,100,Gender,0.9992631708215646,0.9979151336767231,0.9985886973062527
lv_roberta_base_100pct,XLM-R-base,100,Number,0.9994836192552642,0.9979948438842738,0.9987386767572526
lv_roberta_base_100pct,XLM-R-base,100,Person,1.0,0.9990636704119851,0.9995316159250586
lv_roberta_base_100pct,XLM-R-base,100,PronType,1.0,0.9997226844148641,0.9998613229787824
lv_roberta_base_100pct,XLM-R-base,100,Evident,1.0,0.9989375830013281,0.9994685091682168
lv_roberta_base_100pct,XLM-R-base,100,Mood,1.0,0.9990295972828724,0.9995145631067961
lv_roberta_base_100pct,XLM-R-base,100,Polarity,1.0,0.9994086339444116,0.9997042295178942
lv_roberta_base_100pct,XLM-R-base,100,Tense,1.0,0.999231950844854,0.9996158278908952
lv_roberta_base_100pct,XLM-R-base,100,VerbForm,1.0,0.9993980436418359,0.9996989312057805
lv_roberta_base_100pct,XLM-R-base,100,Voice,1.0,0.9992812219227314,0.9996404817544491
lv_roberta_base_100pct,XLM-R-base,100,Definite,1.0,0.99903784477229,0.9995186908390824
lv_roberta_base_100pct,XLM-R-base,100,Degree,1.0,0.9992012779552716,0.9996004794246904
lv_roberta_base_100pct,XLM-R-base,100,Poss,1.0,1.0,1.0
lv_roberta_base_100pct,XLM-R-base,100,NumType,0.9316770186335404,0.7120253164556962,0.8071748878923767
lv_roberta_base_100pct,XLM-R-base,100,Reflex,1.0,1.0,1.0
lv_roberta_base_100pct,XLM-R-base,100,Aspect,1.0,1.0,1.0
lv_roberta_base_100pct,XLM-R-base,100,Typo,1.0,1.0,1.0
lv_roberta_base_100pct,XLM-R-base,100,Foreign,0.9878787878787879,0.9644970414201184,0.9760479041916168
lv_roberta_base_100pct,XLM-R-base,100,Abbr,0.9383886255924171,0.8461538461538461,0.8898876404494382
lv_roberta_large_1pct,XLM-R-large,1,ExtPos,1.0,1.0,1.0
lv_roberta_large_1pct,XLM-R-large,1,Case,0.9972233470237751,0.9973964360101828,0.9973098840068266
lv_roberta_large_1pct,XLM-R-large,1,Gender,0.9967767439031807,0.9970799367319625,0.99692831726529
lv_roberta_large_1pct,XLM-R-large,1,Number,0.9975575120704345,0.9971044115142225,0.9973309103299449
lv_roberta_large_1pct,XLM-R-large,1,Person,0.9998213647731332,0.9975049010871503,0.9986617896333303
lv_roberta_large_1pct,XLM-R-large,1,PronType,1.0,0.998884239888424,0.9994418085403293
lv_roberta_large_1pct,XLM-R-large,1,Evident,0.9997517378351539,0.9970289675662293,0.9983884963431262
lv_roberta_large_1pct,XLM-R-large,1,Mood,0.999774062358789,0.9972954699121027,0.9985332280266275
lv_roberta_large_1pct,XLM-R-large,1,Polarity,0.9998567129961312,0.9979977116704806,0.9989263474339702
lv_roberta_large_1pct,XLM-R-large,1,Tense,0.9998142299832807,0.997405485544848,0.9986084052323964
lv_roberta_large_1pct,XLM-R-large,1,VerbForm,0.9998548831809607,0.9979721900347625,0.9989126495106923
lv_roberta_large_1pct,XLM-R-large,1,Voice,0.9996540989277066,0.9975837072833966,0.998617829993089
lv_roberta_large_1pct,XLM-R-large,1,Definite,1.0,0.9993537964458804,0.9996767937944407
lv_roberta_large_1pct,XLM-R-large,1,Degree,1.0,0.9989358872040436,0.9994676603673144
lv_roberta_large_1pct,XLM-R-large,1,Poss,1.0,1.0,1.0
lv_roberta_large_1pct,XLM-R-large,1,NumType,0.8860510805500982,0.7554438860971524,0.8155515370705244
lv_roberta_large_1pct,XLM-R-large,1,Reflex,1.0,1.0,1.0
lv_roberta_large_1pct,XLM-R-large,1,Aspect,1.0,0.9983471074380166,0.9991728701406121
lv_roberta_large_1pct,XLM-R-large,1,Typo,1.0,1.0,1.0
lv_roberta_large_5pct,XLM-R-large,5,ExtPos,1.0,1.0,1.0
lv_roberta_large_5pct,XLM-R-large,5,Case,0.9988443314457414,0.997461050201962,0.9981522115717751
lv_roberta_large_5pct,XLM-R-large,5,Gender,0.9989075681252655,0.9972129657679492,0.9980595476320417
lv_roberta_large_5pct,XLM-R-large,5,Number,0.9990912705174079,0.9973352987867106,0.9982125124131083
lv_roberta_large_5pct,XLM-R-large,5,Person,0.9998138149320425,0.9994416527079844,0.9996276991809382
lv_roberta_large_5pct,XLM-R-large,5,PronType,1.0,0.9991728701406121,0.9995862639635912
lv_roberta_large_5pct,XLM-R-large,5,Evident,0.9997350993377483,0.9989412387506618,0.9993380113862042
lv_roberta_large_5pct,XLM-R-large,5,Mood,0.9997587454764777,0.9983136593591906,0.9990356798457088
lv_roberta_large_5pct,XLM-R-large,5,Polarity,0.999851411589896,0.9989608076009501,0.999405911183722
lv_roberta_large_5pct,XLM-R-large,5,Tense,0.9998076553183305,0.9992310649750096,0.9995192769925968
lv_roberta_large_5pct,XLM-R-large,5,VerbForm,0.9998494429388738,0.9989470517448856,0.9993980436418359
lv_roberta_large_5pct,XLM-R-large,5,Voice,0.9998204345483929,0.9987443946188341,0.9992821249102657
lv_roberta_large_5pct,XLM-R-large,5,Definite,1.0,0.9993517017828201,0.9996757457846951
lv_roberta_large_5pct,XLM-R-large,5,Degree,1.0,0.99893219434063,0.999465811965812
lv_roberta_large_5pct,XLM-R-large,5,Poss,1.0,1.0,1.0
lv_roberta_large_5pct,XLM-R-large,5,NumType,0.8250460405156538,0.7417218543046358,0.7811682650392329
lv_roberta_large_5pct,XLM-R-large,5,Reflex,1.0,1.0,1.0
lv_roberta_large_5pct,XLM-R-large,5,Aspect,1.0,1.0,1.0
lv_roberta_large_5pct,XLM-R-large,5,Foreign,0.975,0.9375,0.9558823529411764
lv_roberta_large_5pct,XLM-R-large,5,Typo,1.0,0.98,0.98989898989899
lv_roberta_large_5pct,XLM-R-large,5,Abbr,0.9,0.7758620689655172,0.8333333333333334
lv_roberta_large_20pct,XLM-R-large,20,ExtPos,1.0,0.9933774834437086,0.9966777408637874
lv_roberta_large_20pct,XLM-R-large,20,Case,0.9977374253060277,0.998374550098688,0.998055886022691
lv_roberta_large_20pct,XLM-R-large,20,Gender,0.9976849031314732,0.9982930992440868,0.997988908525809
lv_roberta_large_20pct,XLM-R-large,20,Number,0.99800524336031,0.9982897212245596,0.9981474620229714
lv_roberta_large_20pct,XLM-R-large,20,Person,1.0,0.9981322375793799,0.9990652458403441
lv_roberta_large_20pct,XLM-R-large,20,PronType,1.0,0.9989007969222314,0.9994500962331593
lv_roberta_large_20pct,XLM-R-large,20,Evident,1.0,0.9981402763018066,0.999069272703098
lv_roberta_large_20pct,XLM-R-large,20,Mood,1.0,0.9982976653696498,0.9991481075818425
lv_roberta_large_20pct,XLM-R-large,20,Polarity,1.0,0.9989597265566948,0.999479592595346
lv_roberta_large_20pct,XLM-R-large,20,Tense,1.0,0.9986496913580247,0.9993243895376894
lv_roberta_large_20pct,XLM-R-large,20,VerbForm,1.0,0.9989409984871407,0.999470218723984
lv_roberta_large_20pct,XLM-R-large,20,Voice,1.0,0.9987348635459967,0.9993670313771589
lv_roberta_large_20pct,XLM-R-large,20,Definite,1.0,0.9993632601082458,0.9996815286624204
lv_roberta_large_20pct,XLM-R-large,20,Degree,1.0,0.9989381470666313,0.999468791500664
lv_roberta_large_20pct,XLM-R-large,20,Poss,1.0,1.0,1.0
lv_roberta_large_20pct,XLM-R-large,20,NumType,0.875,0.7422680412371134,0.803187250996016
lv_roberta_large_20pct,XLM-R-large,20,Reflex,1.0,1.0,1.0
lv_roberta_large_20pct,XLM-R-large,20,Aspect,1.0,1.0,1.0
lv_roberta_large_20pct,XLM-R-large,20,Foreign,0.9710743801652892,0.9631147540983607,0.9670781893004116
lv_roberta_large_20pct,XLM-R-large,20,Abbr,0.9239130434782609,0.8717948717948718,0.8970976253298153
lv_roberta_large_20pct,XLM-R-large,20,Typo,1.0,1.0,1.0
lv_roberta_large_50pct,XLM-R-large,50,ExtPos,1.0,0.9932885906040269,0.9966329966329966
lv_roberta_large_50pct,XLM-R-large,50,Case,0.9996495327102803,0.9985413384678219,0.9990951282874573
lv_roberta_large_50pct,XLM-R-large,50,Gender,0.999692818086871,0.99840471223463,0.9990483499616271
lv_roberta_large_50pct,XLM-R-large,50,Number,0.9998278236914601,0.9982809008079766,0.9990537634408602
lv_roberta_large_50pct,XLM-R-large,50,Person,1.0,0.998878714259017,0.9994390426327598
lv_roberta_large_50pct,XLM-R-large,50,PronType,1.0,0.9994485800937414,0.9997242140099283
lv_roberta_large_50pct,XLM-R-large,50,Evident,1.0,0.9981540084388185,0.9990761515111521
lv_roberta_large_50pct,XLM-R-large,50,Mood,1.0,0.9983042635658915,0.9991514122923991
lv_roberta_large_50pct,XLM-R-large,50,Polarity,1.0,0.9989594172736732,0.9994794377928162
lv_roberta_large_50pct,XLM-R-large,50,Tense,1.0,0.9986543637062668,0.9993267288640955
lv_roberta_large_50pct,XLM-R-large,50,VerbForm,1.0,0.9989411586749357,0.9994702989027621
lv_roberta_large_50pct,XLM-R-large,50,Voice,1.0,0.9987362339772522,0.9993677174600306
lv_roberta_large_50pct,XLM-R-large,50,Definite,1.0,0.9993523316062176,0.9996760609005507
lv_roberta_large_50pct,XLM-R-large,50,Degree,1.0,0.9989290495314592,0.999464237878382
lv_roberta_large_50pct,XLM-R-large,50,Poss,1.0,1.0,1.0
lv_roberta_large_50pct,XLM-R-large,50,NumType,0.9114688128772636,0.7167721518987342,0.8024800708591675
lv_roberta_large_50pct,XLM-R-large,50,Reflex,1.0,1.0,1.0
lv_roberta_large_50pct,XLM-R-large,50,Aspect,1.0,1.0,1.0
lv_roberta_large_50pct,XLM-R-large,50,Foreign,0.9813664596273292,0.9634146341463414,0.9723076923076923
lv_roberta_large_50pct,XLM-R-large,50,Abbr,0.9220183486238532,0.8701298701298701,0.8953229398663698
lv_roberta_large_50pct,XLM-R-large,50,Typo,1.0,1.0,1.0
lv_roberta_large_100pct,XLM-R-large,100,ExtPos,1.0,1.0,1.0
lv_roberta_large_100pct,XLM-R-large,100,Case,0.9995341795737743,0.9983715249505641,0.9989525139664804
lv_roberta_large_100pct,XLM-R-large,100,Gender,0.9996328478766369,0.9981059448891061,0.9988688128649608
lv_roberta_large_100pct,XLM-R-large,100,Number,0.999942634235888,0.9981103985341273,0.9990256762952775
lv_roberta_large_100pct,XLM-R-large,100,Person,1.0,0.9984914199509711,0.9992451405925646
lv_roberta_large_100pct,XLM-R-large,100,PronType,1.0,0.9994411846884604,0.999720514253773
lv_roberta_large_100pct,XLM-R-large,100,Evident,1.0,0.9981313400961025,0.999064796259185
lv_roberta_large_100pct,XLM-R-large,100,Mood,1.0,0.9982822085889571,0.999140365958492
lv_roberta_large_100pct,XLM-R-large,100,Polarity,1.0,0.9989545997610514,0.9994770265222264
lv_roberta_large_100pct,XLM-R-large,100,Tense,1.0,0.9986449864498645,0.9993220338983051
lv_roberta_large_100pct,XLM-R-large,100,VerbForm,1.0,0.9989361702127659,0.9994678020223523
lv_roberta_large_100pct,XLM-R-large,100,Voice,1.0,0.99872634643377,0.9993627674101047
lv_roberta_large_100pct,XLM-R-large,100,Definite,1.0,0.9993544222078761,0.9996771068776236
lv_roberta_large_100pct,XLM-R-large,100,Degree,1.0,0.9989267507378589,0.9994630872483221
lv_roberta_large_100pct,XLM-R-large,100,Poss,1.0,0.9945652173913043,0.9972752043596731
lv_roberta_large_100pct,XLM-R-large,100,NumType,0.9545454545454546,0.7207488299531981,0.8213333333333334
lv_roberta_large_100pct,XLM-R-large,100,Reflex,1.0,1.0,1.0
lv_roberta_large_100pct,XLM-R-large,100,Aspect,1.0,1.0,1.0
lv_roberta_large_100pct,XLM-R-large,100,Foreign,0.9761904761904762,0.9647058823529412,0.9704142011834319
lv_roberta_large_100pct,XLM-R-large,100,Typo,0.9090909090909091,0.9090909090909091,0.9090909090909091
lv_roberta_large_100pct,XLM-R-large,100,Abbr,0.9454545454545454,0.8739495798319328,0.9082969432314411
